KO RN CPD CKO
ko:K00274 rn:R02382 C00483;C03765 CKO104
ko:K00276 rn:R02382 C00483;C03765 CKO104
ko:K13371 rn:R02382 C00483;C03765 CKO104
ko:K13372 rn:R02382 C00483;C03765 CKO104
ko:K00274 rn:R02529 C00546;C01888 CKO105
ko:K00276 rn:R02529 C00546;C01888 CKO105
ko:K00274 rn:R02532 C00547;C05577 CKO106
ko:K00274 rn:R02613 C00601;C05332 CKO107
ko:K00276 rn:R02613 C00601;C05332 CKO107
ko:K13371 rn:R02612 C00601;C05332 CKO107
ko:K13372 rn:R02612 C00601;C05332 CKO107
ko:K00274 rn:R02908 C00780;C05634 CKO108
ko:K00274 rn:R02919 C00218;C00788 CKO109
ko:K00274 rn:R04025 C02714;C05936 CKO110
ko:K00274 rn:R04300 C03758;C04043 CKO111
ko:K00276 rn:R04300 C03758;C04043 CKO111
ko:K13371 rn:R04300 C03758;C04043 CKO111
ko:K13372 rn:R04300 C03758;C04043 CKO111
ko:K00274 rn:R04674 C05127;C05827 CKO112
ko:K11182 rn:R04674 C05127;C05827 CKO112
ko:K00274 rn:R04890 C05581;C05587 CKO113
ko:K00274 rn:R04893 C05583;C05589 CKO114
ko:K00274 rn:R04894 C00218;C05588 CKO115
ko:K00274 rn:R04907 C05636;C05637 CKO116
ko:K00274 rn:R04908 C05638;C05639 CKO117
ko:K00274 rn:R08346 C00543;C07572 CKO118
ko:K00274 rn:R08347 C16608;C16612 CKO119
ko:K00274 rn:R08348 C16609;C16612 CKO120
ko:K00275 rn:R00277 C00018;C00647 CKO121
ko:K00275 rn:R00278 C00018;C00627 CKO122
ko:K00275 rn:R01710 C00250;C00534 CKO123
ko:K00275 rn:R01711 C00250;C00314 CKO124
ko:K18607 rn:R01711 C00250;C00314 CKO124
ko:K00276 rn:R03139 C00986;C05665 CKO125
ko:K00276 rn:R04027 C02723;C06178 CKO126
ko:K00276 rn:R06154 C00067;C00218 CKO127
ko:K08685 rn:R00606 C00067;C00218 CKO127
ko:K15228 rn:R00606 C00067;C00218 CKO127
ko:K15229 rn:R00606 C00067;C00218 CKO127
ko:K00276 rn:R06740 C01672;C12455 CKO128
ko:K09251 rn:R12214 C01672;C12455 CKO128
ko:K00278 rn:R00357 C00036;C00049 CKO129
ko:K03334 rn:R00357 C00036;C00049 CKO129
ko:K00278 rn:R00481 C00049;C05840 CKO130
ko:K00279 rn:R05708 C00147;C04083 CKO131
ko:K00281 rn:R03425 C01242;C02051 CKO132
ko:K00282 rn:R03425 C01242;C02051 CKO132
ko:K00283 rn:R03425 C01242;C02051 CKO132
ko:K00284 rn:R00021 C00026 CKO133
ko:K00284 rn:R10086 C00026 CKO133
ko:K00814 rn:R00258 C00026 CKO133
ko:K14260 rn:R00258 C00026 CKO133
ko:K14272 rn:R00258 C00026 CKO133
ko:K00817 rn:R03243 C00026 CKO133
ko:K00818 rn:R02283 C00026 CKO133
ko:K00821 rn:R02283 C00026 CKO133
ko:K00819 rn:R00667 C00026 CKO133
ko:K00823 rn:R00908 C00026 CKO133
ko:K07250 rn:R00908 C00026 CKO133
ko:K13524 rn:R00908 C00026 CKO133
ko:K15372 rn:R00908 C00026 CKO133
ko:K00823 rn:R01648 C00026 CKO133
ko:K07250 rn:R01648 C00026 CKO133
ko:K13524 rn:R01648 C00026 CKO133
ko:K14268 rn:R01648 C00026 CKO133
ko:K00826 rn:R01214 C00026 CKO133
ko:K00826 rn:R02199 C00026 CKO133
ko:K00827 rn:R00372 C00026 CKO133
ko:K00830 rn:R00372 C00026 CKO133
ko:K14272 rn:R00372 C00026 CKO133
ko:K00831 rn:R05085 C00026 CKO133
ko:K00832 rn:R10845 C00026 CKO133
ko:K00836 rn:R06977 C00026 CKO133
ko:K15785 rn:R06977 C00026 CKO133
ko:K00840 rn:R04217 C00026 CKO133
ko:K03918 rn:R00457 C00026 CKO133
ko:K05830 rn:R09778 C00026 CKO133
ko:K05830 rn:R10932 C00026 CKO133
ko:K07250 rn:R02274 C00026 CKO133
ko:K14268 rn:R02274 C00026 CKO133
ko:K07250 rn:R04188 C00026 CKO133
ko:K13524 rn:R04188 C00026 CKO133
ko:K07806 rn:R07659 C00026 CKO133
ko:K09251 rn:R01155 C00026 CKO133
ko:K10206 rn:R07613 C00026 CKO133
ko:K13010 rn:R10460 C00026 CKO133
ko:K13017 rn:R10141 C00026 CKO133
ko:K13308 rn:R02773 C00026 CKO133
ko:K20428 rn:R02773 C00026 CKO133
ko:K20429 rn:R02773 C00026 CKO133
ko:K21328 rn:R02773 C00026 CKO133
